2026-04-18 11:28:59.262 | torri.connection.gerrit        | DEBUG    | _get                :254  | HTTP GET http://localhost:8087/g/a/changes/3?o=DETAILED_ACCOUNTS&o=CURRENT_REVISION&o=CURRENT_COMMIT&o=CURRENT_FILES&o=LABELS&o=DETAILED_LABELS&o=ALL_REVISIONS
2026-04-18 11:28:59.263 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=comment-added change=3 branch=master
2026-04-18 11:28:59.263 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.263 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': 'f72fc30d82548b50ae126472df99885b3684c3f1', 'newRev': 'd67de8d99b172a20c764f8c3b58c8038ccc525dc', 'refName': 'refs/changes/04/4/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500899}
2026-04-18 11:28:59.264 | urllib3.connectionpool         | DEBUG    | _new_conn           :241  | Starting new HTTP connection (1): localhost:8087
2026-04-18 11:28:59.265 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.265 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'changer': {'email': 'torii@localdomain', 'username': 'torii'}, 'patchSet': {'number': 1, 'revision': '908602f16c1e088a7a0c390a96033bd11d948ed9', 'parents': ['71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db'], 'ref': 'refs/changes/04/4/1', 'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'createdOn': 1776500896, 'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'kind': 'REWORK', 'sizeInsertions': 9, 'sizeDeletions': 0}, 'change': {'project': 'libraries/common-utils', 'branch': 'master', 'id': 'I731294220140f0d6a4daf8190153a191a2f172d8', 'number': 4, 'subject': 'fll-2', 'owner': {'email': 'torii@localdomain', 'username': 'torii'}, 'url': 'http://gerrit:8080/g/c/libraries/common-utils/+/4', 'commitMessage': 'fll-2\n\nChange-Id: I731294220140f0d6a4daf8190153a191a2f172d8\n', 'createdOn': 1776500896, 'status': 'NEW'}, 'project': 'libraries/common-utils', 'refName': 'refs/heads/master', 'changeKey': {'id': 'I731294220140f0d6a4daf8190153a191a2f172d8'}, 'type': 'wip-state-changed', 'eventCreatedOn': 1776500899}
2026-04-18 11:28:59.266 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.268 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:28:59.268 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
